526226418	41.0788322	20.8023400	Hotel BELVEDERE
1501849857	41.1120923	20.8059275	De Lux Apartments Ohrid
2316032879	41.0769862	20.8030131	Hotel na MVR
2316032888	41.0764625	20.8034074	Hotel Pela
2377969279	41.1056053	20.8082706	HOTEL GARDEN
3826400406	41.1121098	20.8016881	Riviera
3826400420	41.1099144	20.8046742	Siti Palas
4059966727	41.1192679	20.7845353	Mizo
4167839093	41.1114429	20.7942088	Apartmani kraj Ezero, Ohrid
4276466090	41.1124995	20.7988026	Villa Square Ohrid
4276466091	41.1125700	20.7985193	Villa Tabana
4276466092	41.1125176	20.7982936	Villa Harmony
4277058964	41.1125930	20.7980760	Villa De Lago
4277058965	41.1125227	20.7978445	Costa House
4277058966	41.1119443	20.7974286	Villa Sveti Nikola
4281626594	41.1123960	20.7971180	Apartmani Marija
4931101174	41.1089237	20.8058802	Tino
5601865132	41.0760694	20.8035432	Hotel & Spa Tino Sveti Stefan
5601885730	41.1070136	20.8152723	Hotel International
5659613224	41.1073783	20.8081499	Hotel Villa Jordan
5837780717	41.0900379	20.7990804	Hotel Park
5840219785	41.1170005	20.8088839	Hostel Veronika
5890717255	41.1074146	20.8073612	Villa Denarius
5911266884	41.0737427	20.8042065	Hotel Manastir Sveti Stefan
6393030286	41.1181085	20.7997644	Montenegrin Inn
6711993190	41.1218586	20.7943777	Hotel Flamengo
6781572391	41.1174368	20.8014938	Sky Corner
6830542294	41.1278422	20.8029354	Vila Lovec Ohrid
6831648886	41.1122995	20.7984298	Villa cun
6833101085	41.1142862	20.7998194	Central Palace Villa
6833103286	41.1222239	20.8091091	Village
6834500688	41.1074220	20.8095668	Diplomat
6837039905	41.1084650	20.8113417	Vila Niko
6867737585	41.1250537	20.7712139	Green Space Hotel
7093473749	41.1128514	20.7940292	Villa Varosh
8109416103	41.1222715	20.7740558	Daljan
8109436050	41.0746758	20.8027351	Hotel Sileks
8109460807	41.0754796	20.8028050	Hotel Beton
8109467978	41.0789051	20.8007902	Hotel Slavija Spektar
8109471188	41.1123019	20.7981220	Vila Kosta Ohrid
8109473750	41.0846970	20.7972458	Hotel Ineks Gorica
8109477957	41.1471777	20.7599981	Kocarev
8109491319	41.1122203	20.7980025	Hotel Aleksandrija
